fecha,anio,mes,categoria,videos_publicados,vistas_totales,likes_totales,comentarios_totales,engagement_promedio,max_vistas_video,titulo_mas_visto
2019-05-01,2019,5,MotoGP,2,12295.0,192.0,50.0,1.89,8156,MotoGP 2019 MOD | Career #149 | #2 ArgentinaGP | Close Battles | TV
2019-04-01,2019,4,MotoGP,8,665611.0,6625.0,452.0,2.08,455871,[MotoGP 2019] Chặng 2 tại đường đua Termas de Rio Hondo - Argentina
2019-04-01,2019,4,Termas,4,41323.0,1033.0,103.0,4.99,28780,"Termas de Cajon Grande en Las Loicas, Mendoza | Tripin Argentina"
2019-03-01,2019,3,MotoGP,5,128442.0,2081.0,104.0,1.26,58040,It must be MotoGP™
2019-03-01,2019,3,Otro,2,81180.0,1192.0,81.0,1.45,71852,Repsol Honda OnBoard: Argentina Grand Prix
2019-03-01,2019,3,Termas,1,19154.0,293.0,23.0,1.65,19154,ASÍ ES EL CIRCUITO DE TERMAS DE RÍO HONDO
2019-02-01,2019,2,Termas,1,34183.0,6.0,0.0,0.02,34183,Alojamiento 3x2 en Termas de Rio Hondo Termas. Verano 19
2019-02-01,2019,2,MotoGP,2,14433.0,121.0,32.0,1.21,8175,Ver MOTOGP 2019
2019-01-01,2019,1,MotoGP,1,25606.0,157.0,86.0,0.95,25606,valentino rossi-berambisi raih gelar motogp 2019
2018-12-01,2018,12,Otro,1,63201.0,213.0,57.0,0.43,63201,valentino rossi - sponsor utama tim yamaha musim 2019
2018-12-01,2018,12,MotoGP,1,3922.0,36.0,6.0,1.07,3922,Confirmado: #MotoGP en Termas de Río Hondo (Argentina) hasta 2021
2018-08-01,2018,8,Termas,1,311949.0,3616.0,83.0,1.19,311949,"Termas de Cacheuta 2020 Mendoza, Argentina |HD|"
2018-07-01,2018,7,SDE Capital,1,133067.0,1646.0,496.0,1.61,133067,Flybondi: vuelo El Palomar Santiago del Estero
2018-07-01,2018,7,Termas,1,23975.0,269.0,16.0,1.19,23975,👉 TERMAS DE RÍO HONDO: 6 LUGARES QUE TENÉS QUE CONOCER
2018-06-01,2018,6,Termas,1,95186.0,371.0,25.0,0.42,95186,Automovilismo - Final TC - Termas de Río Hondo
2018-06-01,2018,6,MotoGP,2,64975.0,715.0,71.0,1.32,37853,MotoGP 18 - Termas de Rio Hondo (Argentina GP) - Gameplay (PC HD) [1080p60FPS]
2018-05-01,2018,5,MotoGP,1,76735.0,947.0,235.0,1.54,76735,MOTOGP Argentina  🔥 ASI ES la FIESTA en la NOCHE de TERMAS de RÍO HONDO (Parte 3)
2018-04-01,2018,4,MotoGP,4,3830452.0,21021.0,1319.0,1.28,2330479,[MOTOGP 2018] Chặng 2 tại trường đua Termas de Río Hondo Circuit (Argentina)
2018-04-01,2018,4,Termas,2,2130314.0,10066.0,1818.0,1.71,2097894,"Termas Clash: Marquez and Rossi, the clash of the titans!"
