fecha,anio,mes,provincia,empleo_registrado,sector,fuente
2025-01-01,2025,1,San Juan,2919,HyG,SIPA-AFIP/OEDE
2025-01-01,2025,1,San Luis,1927,HyG,SIPA-AFIP/OEDE
2025-01-01,2025,1,Santa Cruz,5192,HyG,SIPA-AFIP/OEDE
2025-01-01,2025,1,Santa Fe,15138,HyG,SIPA-AFIP/OEDE
2025-01-01,2025,1,Santiago del Estero,3012,HyG,SIPA-AFIP/OEDE
2025-01-01,2025,1,Tierra del Fuego,3425,HyG,SIPA-AFIP/OEDE
2025-01-01,2025,1,Tucuman,5190,HyG,SIPA-AFIP/OEDE
2024-10-01,2024,10,Capital Federal,102439,HyG,SIPA-AFIP/OEDE
2024-10-01,2024,10,Catamarca,1593,HyG,SIPA-AFIP/OEDE
2024-10-01,2024,10,Chaco,1382,HyG,SIPA-AFIP/OEDE
2024-10-01,2024,10,Chubut,3890,HyG,SIPA-AFIP/OEDE
2024-10-01,2024,10,Cordoba,22279,HyG,SIPA-AFIP/OEDE
2024-10-01,2024,10,Corrientes,3916,HyG,SIPA-AFIP/OEDE
2024-10-01,2024,10,Entre Rios,4416,HyG,SIPA-AFIP/OEDE
2024-10-01,2024,10,Formosa,955,HyG,SIPA-AFIP/OEDE
2024-10-01,2024,10,Jujuy,1984,HyG,SIPA-AFIP/OEDE
2024-10-01,2024,10,La Pampa,1086,HyG,SIPA-AFIP/OEDE
2024-10-01,2024,10,La Rioja,1141,HyG,SIPA-AFIP/OEDE
2024-10-01,2024,10,Mendoza,13797,HyG,SIPA-AFIP/OEDE
2024-10-01,2024,10,Misiones,4952,HyG,SIPA-AFIP/OEDE
2024-10-01,2024,10,Neuquen,9385,HyG,SIPA-AFIP/OEDE
2024-10-01,2024,10,Partidos de GBA,50565,HyG,SIPA-AFIP/OEDE
2024-10-01,2024,10,Resto de Buenos Aires,39161,HyG,SIPA-AFIP/OEDE
2024-10-01,2024,10,Rio Negro,9831,HyG,SIPA-AFIP/OEDE
2024-10-01,2024,10,Salta,6433,HyG,SIPA-AFIP/OEDE
2024-10-01,2024,10,San Juan,2799,HyG,SIPA-AFIP/OEDE
2024-10-01,2024,10,San Luis,1865,HyG,SIPA-AFIP/OEDE
2024-10-01,2024,10,Santa Cruz,5193,HyG,SIPA-AFIP/OEDE
2024-10-01,2024,10,Santa Fe,15273,HyG,SIPA-AFIP/OEDE
2024-10-01,2024,10,Santiago del Estero,3026,HyG,SIPA-AFIP/OEDE
2024-10-01,2024,10,Tierra del Fuego,3525,HyG,SIPA-AFIP/OEDE
2024-10-01,2024,10,Tucuman,5124,HyG,SIPA-AFIP/OEDE
2024-07-01,2024,7,Capital Federal,99670,HyG,SIPA-AFIP/OEDE
2024-07-01,2024,7,Catamarca,1534,HyG,SIPA-AFIP/OEDE
2024-07-01,2024,7,Chaco,1376,HyG,SIPA-AFIP/OEDE
2024-07-01,2024,7,Chubut,3685,HyG,SIPA-AFIP/OEDE
2024-07-01,2024,7,Cordoba,22032,HyG,SIPA-AFIP/OEDE
2024-07-01,2024,7,Corrientes,3826,HyG,SIPA-AFIP/OEDE
2024-07-01,2024,7,Entre Rios,4235,HyG,SIPA-AFIP/OEDE
2024-07-01,2024,7,Formosa,845,HyG,SIPA-AFIP/OEDE
2024-07-01,2024,7,Jujuy,1921,HyG,SIPA-AFIP/OEDE
2024-07-01,2024,7,La Pampa,1085,HyG,SIPA-AFIP/OEDE
2024-07-01,2024,7,La Rioja,1115,HyG,SIPA-AFIP/OEDE
2024-07-01,2024,7,Mendoza,14076,HyG,SIPA-AFIP/OEDE
2024-07-01,2024,7,Misiones,4719,HyG,SIPA-AFIP/OEDE
2024-07-01,2024,7,Neuquen,9286,HyG,SIPA-AFIP/OEDE
2024-07-01,2024,7,Partidos de GBA,49385,HyG,SIPA-AFIP/OEDE
2024-07-01,2024,7,Resto de Buenos Aires,35534,HyG,SIPA-AFIP/OEDE
2024-07-01,2024,7,Rio Negro,10077,HyG,SIPA-AFIP/OEDE
2024-07-01,2024,7,Salta,6547,HyG,SIPA-AFIP/OEDE
2024-07-01,2024,7,San Juan,2614,HyG,SIPA-AFIP/OEDE
2024-07-01,2024,7,San Luis,1912,HyG,SIPA-AFIP/OEDE
2024-07-01,2024,7,Santa Cruz,4367,HyG,SIPA-AFIP/OEDE
2024-07-01,2024,7,Santa Fe,15035,HyG,SIPA-AFIP/OEDE
2024-07-01,2024,7,Santiago del Estero,3358,HyG,SIPA-AFIP/OEDE
2024-07-01,2024,7,Tierra del Fuego,3514,HyG,SIPA-AFIP/OEDE
2024-07-01,2024,7,Tucuman,5031,HyG,SIPA-AFIP/OEDE
2024-04-01,2024,4,Capital Federal,99242,HyG,SIPA-AFIP/OEDE
2024-04-01,2024,4,Catamarca,1601,HyG,SIPA-AFIP/OEDE
2024-04-01,2024,4,Chaco,1391,HyG,SIPA-AFIP/OEDE
2024-04-01,2024,4,Chubut,3628,HyG,SIPA-AFIP/OEDE
2024-04-01,2024,4,Cordoba,22125,HyG,SIPA-AFIP/OEDE
2024-04-01,2024,4,Corrientes,3913,HyG,SIPA-AFIP/OEDE
2024-04-01,2024,4,Entre Rios,4358,HyG,SIPA-AFIP/OEDE
2024-04-01,2024,4,Formosa,853,HyG,SIPA-AFIP/OEDE
2024-04-01,2024,4,Jujuy,1972,HyG,SIPA-AFIP/OEDE
2024-04-01,2024,4,La Pampa,1145,HyG,SIPA-AFIP/OEDE
2024-04-01,2024,4,La Rioja,1154,HyG,SIPA-AFIP/OEDE
2024-04-01,2024,4,Mendoza,14146,HyG,SIPA-AFIP/OEDE
2024-04-01,2024,4,Misiones,4867,HyG,SIPA-AFIP/OEDE
2024-04-01,2024,4,Neuquen,8892,HyG,SIPA-AFIP/OEDE
2024-04-01,2024,4,Partidos de GBA,50113,HyG,SIPA-AFIP/OEDE
2024-04-01,2024,4,Resto de Buenos Aires,36182,HyG,SIPA-AFIP/OEDE
2024-04-01,2024,4,Rio Negro,9333,HyG,SIPA-AFIP/OEDE
2024-04-01,2024,4,Salta,6479,HyG,SIPA-AFIP/OEDE
2024-04-01,2024,4,San Juan,2818,HyG,SIPA-AFIP/OEDE
2024-04-01,2024,4,San Luis,1927,HyG,SIPA-AFIP/OEDE
2024-04-01,2024,4,Santa Cruz,4491,HyG,SIPA-AFIP/OEDE
2024-04-01,2024,4,Santa Fe,15329,HyG,SIPA-AFIP/OEDE
2024-04-01,2024,4,Santiago del Estero,3067,HyG,SIPA-AFIP/OEDE
2024-04-01,2024,4,Tierra del Fuego,3382,HyG,SIPA-AFIP/OEDE
2024-04-01,2024,4,Tucuman,5033,HyG,SIPA-AFIP/OEDE
