fecha,anio,mes,provincia,empleo_registrado,sector,fuente
2024-12-01,2024,12,Entre Ríos,4416,HyG,SIPA-AFIP
2024-12-01,2024,12,Formosa,959,HyG,SIPA-AFIP
2024-12-01,2024,12,Jujuy,1944,HyG,SIPA-AFIP
2024-12-01,2024,12,La Pampa,1085,HyG,SIPA-AFIP
2024-12-01,2024,12,La Rioja,1100,HyG,SIPA-AFIP
2024-12-01,2024,12,Mendoza,13806,HyG,SIPA-AFIP
2024-12-01,2024,12,Misiones,4969,HyG,SIPA-AFIP
2024-12-01,2024,12,Neuquén,9416,HyG,SIPA-AFIP
2024-12-01,2024,12,Río Negro,9818,HyG,SIPA-AFIP
2024-12-01,2024,12,Salta,245,HyG,SIPA-AFIP
2024-12-01,2024,12,San Juan,2802,HyG,SIPA-AFIP
2024-12-01,2024,12,San Luis,1886,HyG,SIPA-AFIP
2024-12-01,2024,12,Santa Cruz,5185,HyG,SIPA-AFIP
2024-12-01,2024,12,Santa Fe,15291,HyG,SIPA-AFIP
2024-12-01,2024,12,Santiago del Estero,3035,HyG,SIPA-AFIP
2024-12-01,2024,12,Tierra del Fuego,3521,HyG,SIPA-AFIP
2024-12-01,2024,12,Tucumán,5140,HyG,SIPA-AFIP
2024-11-01,2024,11,Buenos Aires,89701,HyG,SIPA-AFIP
2024-11-01,2024,11,CABA,102346,HyG,SIPA-AFIP
2024-11-01,2024,11,Catamarca,1604,HyG,SIPA-AFIP
2024-11-01,2024,11,Chaco,1387,HyG,SIPA-AFIP
2024-11-01,2024,11,Chubut,3896,HyG,SIPA-AFIP
2024-11-01,2024,11,Corrientes,3920,HyG,SIPA-AFIP
2024-11-01,2024,11,Córdoba,22427,HyG,SIPA-AFIP
2024-11-01,2024,11,Entre Ríos,4416,HyG,SIPA-AFIP
2024-11-01,2024,11,Formosa,959,HyG,SIPA-AFIP
2024-11-01,2024,11,Jujuy,1944,HyG,SIPA-AFIP
2024-11-01,2024,11,La Pampa,1085,HyG,SIPA-AFIP
2024-11-01,2024,11,La Rioja,1100,HyG,SIPA-AFIP
2024-11-01,2024,11,Mendoza,13806,HyG,SIPA-AFIP
2024-11-01,2024,11,Misiones,4969,HyG,SIPA-AFIP
2024-11-01,2024,11,Neuquén,9416,HyG,SIPA-AFIP
2024-11-01,2024,11,Río Negro,9818,HyG,SIPA-AFIP
2024-11-01,2024,11,Salta,245,HyG,SIPA-AFIP
2024-11-01,2024,11,San Juan,2802,HyG,SIPA-AFIP
2024-11-01,2024,11,San Luis,1886,HyG,SIPA-AFIP
2024-11-01,2024,11,Santa Cruz,5185,HyG,SIPA-AFIP
2024-11-01,2024,11,Santa Fe,15291,HyG,SIPA-AFIP
2024-11-01,2024,11,Santiago del Estero,3035,HyG,SIPA-AFIP
2024-11-01,2024,11,Tierra del Fuego,3521,HyG,SIPA-AFIP
2024-11-01,2024,11,Tucumán,5140,HyG,SIPA-AFIP
2024-10-01,2024,10,Buenos Aires,89701,HyG,SIPA-AFIP
2024-10-01,2024,10,CABA,102346,HyG,SIPA-AFIP
2024-10-01,2024,10,Catamarca,1604,HyG,SIPA-AFIP
2024-10-01,2024,10,Chaco,1387,HyG,SIPA-AFIP
2024-10-01,2024,10,Chubut,3896,HyG,SIPA-AFIP
2024-10-01,2024,10,Corrientes,3920,HyG,SIPA-AFIP
2024-10-01,2024,10,Córdoba,22427,HyG,SIPA-AFIP
2024-10-01,2024,10,Entre Ríos,4416,HyG,SIPA-AFIP
2024-10-01,2024,10,Formosa,959,HyG,SIPA-AFIP
2024-10-01,2024,10,Jujuy,1944,HyG,SIPA-AFIP
2024-10-01,2024,10,La Pampa,1085,HyG,SIPA-AFIP
2024-10-01,2024,10,La Rioja,1100,HyG,SIPA-AFIP
2024-10-01,2024,10,Mendoza,13806,HyG,SIPA-AFIP
2024-10-01,2024,10,Misiones,4969,HyG,SIPA-AFIP
