fecha,localidad,viajeros_total,viajeros_res,viajeros_no_res,pernoctes_total,estadia_promedio,ibt_termas,ibt_sde,ibt_motogp,ibt_compuesto,tcn_usd,anio,mes,flag_covid
2024-04-01,Santiago del Estero,19172.0,9451.0,135.0,31548.0,1.65,27,2,7,15.5,887.08,2024,4,0
2024-04-01,Termas,31928.0,15839.0,125.0,77996.0,2.44,27,2,7,15.5,887.08,2024,4,0
2024-03-01,Santiago del Estero,18212.0,8992.0,114.0,30864.0,1.69,24,2,7,14.0,869.55,2024,3,0
2024-03-01,Termas,24882.0,12336.0,105.0,63284.0,2.54,24,2,7,14.0,869.55,2024,3,0
2024-02-01,Santiago del Estero,15730.0,7703.0,162.0,25116.0,1.6,25,2,2,13.5,853.02,2024,2,0
2024-02-01,Termas,13131.0,6540.0,,36760.0,2.8,25,2,2,13.5,853.02,2024,2,0
2024-01-01,Santiago del Estero,15590.0,7652.0,143.0,24242.0,1.55,27,5,6,16.2,837.4,2024,1,0
2024-01-01,Termas,14964.0,7440.0,,45169.0,3.02,27,5,6,16.2,837.4,2024,1,0
2023-12-01,Santiago del Estero,18801.0,9263.0,,32938.0,1.75,19,2,2,10.5,638.97,2023,12,0
2023-12-01,Termas,12709.0,6315.0,,38112.0,3.0,19,2,2,10.5,638.97,2023,12,0
2023-11-01,Santiago del Estero,21953.0,10962.0,,35909.0,1.64,22,3,7,13.3,353.44,2023,11,0
2023-11-01,Termas,17700.0,8826.0,,47946.0,2.71,22,3,7,13.3,353.44,2023,11,0
2023-10-01,Santiago del Estero,23269.0,11584.0,,42763.0,1.84,25,3,10,15.4,350.0,2023,10,0
2023-10-01,Termas,35310.0,17455.0,200.0,95900.0,2.72,25,3,10,15.4,350.0,2023,10,0
2023-09-01,Santiago del Estero,28184.0,13949.0,143.0,53798.0,1.91,39,3,6,21.6,350.01,2023,9,0
2023-09-01,Termas,42606.0,20995.0,308.0,123644.0,2.9,39,3,6,21.6,350.01,2023,9,0
2023-08-01,Santiago del Estero,24512.0,12105.0,151.0,43410.0,1.77,38,3,3,20.5,321.62,2023,8,0
2023-08-01,Termas,56770.0,28008.0,377.0,171284.0,3.02,38,3,3,20.5,321.62,2023,8,0
2023-07-01,Santiago del Estero,33306.0,16413.0,240.0,58250.0,1.75,64,5,2,33.9,265.98,2023,7,0
2023-07-01,Termas,81002.0,40182.0,319.0,272518.0,3.36,64,5,2,33.9,265.98,2023,7,0
2023-06-01,Santiago del Estero,25926.0,12682.0,281.0,44238.0,1.71,49,3,4,26.2,248.36,2023,6,0
2023-06-01,Termas,54684.0,27200.0,142.0,169290.0,3.1,49,3,4,26.2,248.36,2023,6,0
2023-05-01,Santiago del Estero,27186.0,13108.0,485.0,49840.0,1.83,51,4,3,27.3,231.09,2023,5,0
2023-05-01,Termas,34377.0,17145.0,,103610.0,3.01,51,4,3,27.3,231.09,2023,5,0
2023-04-01,Santiago del Estero,27030.0,13338.0,177.0,47634.0,1.76,43,3,22,26.8,215.79,2023,4,0
2023-04-01,Termas,28196.0,13107.0,991.0,75456.0,2.68,43,3,22,26.8,215.79,2023,4,0
2023-03-01,Santiago del Estero,26516.0,13214.0,,43908.0,1.66,36,5,21,23.7,202.92,2023,3,0
2023-03-01,Termas,22498.0,9653.0,1596.0,56246.0,2.5,36,5,21,23.7,202.92,2023,3,0
2023-02-01,Santiago del Estero,23001.0,11462.0,,40618.0,1.77,31,4,6,17.9,191.97,2023,2,0
